Found 68 users:
ID: 1, Email: admin@handball.de, Role: Role.admin
ID: 2, Email: trainer.mueller@handball.de, Role: Role.coach
ID: 3, Email: trainer.schmidt@handball.de, Role: Role.coach
ID: 4, Email: max.mustermann@handball.de, Role: Role.player
ID: 5, Email: tim.fischer@handball.de, Role: Role.player
ID: 6, Email: leon.weber@handball.de, Role: Role.player
ID: 7, Email: paul.becker@handball.de, Role: Role.player
ID: 8, Email: felix.hoffmann@handball.de, Role: Role.player
ID: 9, Email: jonas.schulz@handball.de, Role: Role.player
ID: 10, Email: lukas.koch@handball.de, Role: Role.player
ID: 11, Email: ben.richter@handball.de, Role: Role.player
ID: 12, Email: finn.wolf@handball.de, Role: Role.player
ID: 13, Email: noah.schäfer@handball.de, Role: Role.player
ID: 14, Email: emma.klein@handball.de, Role: Role.player
ID: 15, Email: mia.wagner@handball.de, Role: Role.player
ID: 16, Email: johann.thygs@handball.player, Role: Role.player
ID: 17, Email: paul.meyer0@example.com, Role: Role.player
ID: 18, Email: paul.hoffmann1@example.com, Role: Role.player
ID: 19, Email: paul.wagner2@example.com, Role: Role.player
ID: 20, Email: philipp.schneider3@example.com, Role: Role.player
ID: 21, Email: tim.koch4@example.com, Role: Role.player
ID: 22, Email: leon.wolf5@example.com, Role: Role.player
ID: 23, Email: david.hoffmann6@example.com, Role: Role.player
ID: 24, Email: felix.weber7@example.com, Role: Role.player
ID: 25, Email: julian.klein8@example.com, Role: Role.player
ID: 26, Email: luis.hoffmann9@example.com, Role: Role.player
ID: 27, Email: elias.koch10@example.com, Role: Role.player
ID: 28, Email: david.müller11@example.com, Role: Role.player
ID: 29, Email: philipp.schulz12@example.com, Role: Role.player
ID: 30, Email: philipp.hoffmann13@example.com, Role: Role.player
ID: 31, Email: luis.koch14@example.com, Role: Role.player
ID: 32, Email: jonas.schneider15@example.com, Role: Role.player
ID: 33, Email: lukas.müller16@example.com, Role: Role.player
ID: 34, Email: jan.wolf17@example.com, Role: Role.player
ID: 35, Email: philipp.meyer18@example.com, Role: Role.player
ID: 36, Email: maximilian.hoffmann19@example.com, Role: Role.player
ID: 37, Email: david.richter20@example.com, Role: Role.player
ID: 38, Email: tim.weber21@example.com, Role: Role.player
ID: 39, Email: lukas.fischer22@example.com, Role: Role.player
ID: 40, Email: maximilian.klein23@example.com, Role: Role.player
ID: 41, Email: leon.hoffmann24@example.com, Role: Role.player
ID: 42, Email: lukas.richter0@example.com, Role: Role.player
ID: 43, Email: maximilian.schneider1@example.com, Role: Role.player
ID: 44, Email: maximilian.weber2@example.com, Role: Role.player
ID: 45, Email: maximilian.schulz3@example.com, Role: Role.player
ID: 46, Email: leon.wagner4@example.com, Role: Role.player
ID: 47, Email: niklas.schmidt5@example.com, Role: Role.player
ID: 48, Email: leon.richter6@example.com, Role: Role.player
ID: 49, Email: tim.fischer7@example.com, Role: Role.player
ID: 50, Email: luis.weber8@example.com, Role: Role.player
ID: 51, Email: david.schröder9@example.com, Role: Role.player
ID: 52, Email: jonas.schneider10@example.com, Role: Role.player
ID: 53, Email: maximilian.müller11@example.com, Role: Role.player
ID: 54, Email: jan.schulz12@example.com, Role: Role.player
ID: 55, Email: elias.meyer14@example.com, Role: Role.player
ID: 56, Email: david.klein15@example.com, Role: Role.player
ID: 57, Email: philipp.müller16@example.com, Role: Role.player
ID: 58, Email: lukas.wolf17@example.com, Role: Role.player
ID: 59, Email: luis.richter18@example.com, Role: Role.player
ID: 60, Email: finn.schneider19@example.com, Role: Role.player
ID: 61, Email: leon.schröder20@example.com, Role: Role.player
ID: 62, Email: elias.weber22@example.com, Role: Role.player
ID: 63, Email: jan.becker23@example.com, Role: Role.player
ID: 64, Email: julian.koch24@example.com, Role: Role.player
ID: 65, Email: leon.hoffmann25@example.com, Role: Role.player
ID: 66, Email: finn.wagner26@example.com, Role: Role.player
ID: 67, Email: paul.wolf27@example.com, Role: Role.player
ID: 68, Email: leon.wolf29@example.com, Role: Role.player
